PID,p,Nombre de carpeta digital,Digital File Name (First),Digital File Name (Last),,Level of description,Extent and medium,Title (In Original Language/Script),Original Reference,Dates of Material (Gregorian Calendar),,Related Towns/Cities,NO INCLUIDO EN TABLA DE BIBLIOTECA BRITÁNICA,,"Related Subjects
",,,,,
AHJCI.MFC.009.013,Ernestina Lemos Rentería,EAP1477_MFC_B09_Doc13_CastillovsVictoria,EAP1477_MFC_B09_Doc13_CastillovsVictoria_IMG_001,EAP1477_MFC_B09_Doc13_CastillovsVictoria_IMG_396,396,Documento,197 folios de papel,"Jaime Castillo contra Felicidad Victoria, contrato de arrendamiento de terreno minero","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 13",1930,,Munguidó|Istmina|Cali|Nóvita|Popayán|Noanamá|Cauca|Cuellar|Palestina|Bogotá,"Moreno, Rafael|Lozano, Ramón|Lozano, Leandro|Lozano, Juan|Chamapurro, José Primo|Diego, Floriano de|Bonilla, Hermenegildo|Terán, Carlos|Mosquera, Ricardo|Miller Ibáñez, Ramón|Miller, José|Camacho, Virgilio|Barahona, Eulogio|Barahona, Ramona|Longa, Juan|Prado, Camilo|Quintana, José María|Quintana, Antonio María|Hurtado, Nicolás|Mendez, Fidel|Lemos, Nepomuceno|Diago, José|Galindo, Inocencio|Arjáez, Ramón|Mosquera, Juan Francisco|Quesada, Pedro José|Hormaza, Nicolás|Lozano, Napoleón|Ordoñez, José María|Rentería, Esteban|Hurtado, Guillermo O|Castillo, Jaime|Mosquera, Alejandro|Bravo, Miguel|Arcos, José Domingo|Bonilla, Juan|Chivirico, Ricardo|Pinguimía, Delfin|Cárdenas, Benito|Victoria, Felicidad|Ibargüen, Dionisio|Quintana, Agustín|Hurtado, Deogracia|Gamboa, Simón|Quintana, Luis|Cañarte, Francisco Antonio|Rojas, Pablo|Miller, Eduardo|Chivirico, Esquivel|Chivirico, Aquileo|Olaya Herrera, Enrique|Urueta, Carlos Adolfo|Chaux, Francisco José|Pumarejo, Alberto|Isaza, Fernando|Ibargüen, Pelidoro|Valencia, Inocencio|Victoria, Mateo|María Aurora|Piraza, Ismael|Abadía Arando, Sergio|Lemos, Florencio|Lozano, Indalecio|Echeverri Ferrer, Ricardo|Asprilla, Eusebio|Fabricio Miller, José|Moreno, Juan|Moreno, Rafael|Pérez, Lucas Díaz|Moreno, Santiago|Victoria, Eloísa|Largacha, Gerardo|Mosquera, Julian|Piraza, Sabino|Piraza, Marcial|Chocho, Cetaviano|Conquista, Mayolo|Hurtado, Trinidad",,judicial|tierras,"Juicio ordinario sobre reivindicación de los terrenos del Bajo San Juan que lleva Jaime Castillo, en su carácter de apoderado de la familia Miller, contra Ricardo y Aquileo Chivirico, Santiago, Juan Rafael Moreno, Ramón y Lucianito Lozano, Juan Longa, Gerardo Largacha, Mateo Victoria, María Aurora v. de Victoria Trinidad Hurtado (alias ‘Matavaca’), todos mayores de edad. Se les demanda a los arrendatarios de la familia Miller porque pretendían tener derechos en dichos terrenos. Y se les pide a pagar a la sucesión los frutos naturales y civiles que haya producido la propiedad desde 1907 hasta que se verifique la restitución. ","Deteriorado. Tiene signos de huemdad, manchas y roturas.",,"Contiene extractos de Chocó. Órgano de Publicidad de los Actos de la Intendencia, n. 761 (Quibdó) 29 de octubre de 1931, y Chocó. Órgano de Publicidad de los Actos de la Intendencia, n. 762 (Quibdó) 7 de noviembre de 1931.","Descrito por Ernestina Lemos Rentería el 2023-02-15, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.014,Nallely Taborda Castañeda,EAP1477_MFC_B09_Doc14_AbadíavsMurilloAsprilla,EAP1477_MFC_B09_Doc14_AbadíavsMurilloAsprilla_IMG_001,EAP1477_MFC_B09_Doc14_AbadíavsMurilloAsprilla_IMG_038,38,Documento,18 folios de papel,Arístides Abadía demanda una escritura pública de compra de terreno celebrado entre Juan Roso Murillo (Tintín) y Antonio Asprilla,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 14",1928,,Nóvita|Istmina|Primavera|Bebedó|San Pablo,"Abadía, Arístides|Rosso Murillo, Juan|Asprilla, Antonio|Garcés, Manuel|Salazar, Miguel|Prado, Andrés|Rojas Peña, Alcides|Bonilla, Hermenegildo|Tristana, Agustín|Miller, José F|Ramírez, Neftalí|Murillo, Juan Eligio|Mata Rengifo, Juan de|Guerrero, Mario|Rojas, Vicente|Guzmán, Ponpeyo|Murillo, Mateo|Murillo, Eligio|Murillo, Dositeo|Holguín, Alberto|Millan, Efraín",,judicial|minas|comercio|mercaderes|minería,"Con el poder que tenía como presbítero de la iglesia San Jerónimo en Novita, el padre Alcides Rojas Peña, como administrador de todos los bienes inmuebles que constituyen el patrimonio de la iglesia, confiere poder general para pleitos o gestiones jurídicas y administrativas al señor Hermenegildo Bonilla, para que represente la entidad ante los juzgados, tribunales y ante las autoridades administrativas como demandante o demandado. Promoviendo y siguiendo hasta su terminación los pleitos y gestiones que crea necesarios para evitar que las propiedades de la iglesia sean arrebatadas. En caso de ser demandados, afrontando la defensa a las propiedades, cuyas demandas pueden desistir o terminarlas por transiciones amigables, también queda facultado para hacer todo aquello que en la defensa de sus propios bienes hiciera y para ocupantes de las tierras deban por el uso o usufructos civiles o naturales en años anteriores y posteriores. En este mismo documento se expide el siguiente edicto: Juan Rosso Murillo da en venta al señor Antonio Asprilla todos los derechos que le corresponden en el suelo y subsuelo de un terreno llamado El Arenal, situado en el paraje de Cimarrones en la margen izquierda del río San Juan corregimiento de Primavera por un valor de 3,000 pesos plata. El vendedor se obliga a entregar al señor Antonio Asprilla título de la mina denunciada en El Arenal si ya estuviera expedido y de lo contrario se obliga a hacer las diligencias contundentes a obtener la adjudicación de las minas existentes en las dos propiedades que vende hasta obtener la expedición de los títulos a favor del comprador, siendo entendido que si el vendedor no logra titular tales minas, esta venta podrá resolverse a voluntad del señor Asprilla quedando el vendedor Murillo obligado a devolver doscientos pesos que había recibido. ","Regular. Tiene manchas, no tiene números de folio.",,,"Descrito por Nallely Taborda Castañeda el 2023-02-08, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.015,Javier Hurtado Ibargüen,EAP1477_MFC_B09_Doc15_IglesiaNovitavsAsprilla,EAP1477_MFC_B09_Doc15_IglesiaNovitavsAsprilla_IMG_001,EAP1477_MFC_B09_Doc15_IglesiaNovitavsAsprilla_IMG_010,10,Documento,4 folios de papel,Iglesia de Nóvita contra Antonio Asprilla,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 15",1928,,Nóvita|Istmina|Tadó|Quibdó|Nóvita,"Asprilla Arango, Antonio|Abadía, Sergio|Díaz, Jorge E|Santacoloma, Rubén",,judicial|minería|minas,"El caso nos habla sobre la denuncia que le hace la Alcaldía de Nóvita, en cabeza de su abogado Arístides Abadía, al señor Antonio Asprilla por la titulación de una mina llamada La Murillo.",,,,"Descrito por Javier Hurtado Ibargüen el 2023-01-23, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.016,Ernestina Lemos Rentería,EAP1477_MFC_B09_Doc16_SerranovsPerea,EAP1477_MFC_B09_Doc16_SerranovsPerea_IMG_001,EAP1477_MFC_B09_Doc16_SerranovsPerea_IMG_112,112,Documento,55 folios de papel,"S.M. Serrano Bernal contra Indalecio Perea, cobro","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 16",1928,,Tadó|Istmina,"Serrano Bernal, S M|Perea, Indalecio|Castro, Cerbeleón|Jaramillo, Virgilio H|Asprilla Arango, Antonio|Echeverri Ferrer, Ricardo|Arango, Francisco|Lozano, Indalecio|Arango, Sergio|Lemos, Inocencio",,judicial,"Demanda por cobro. S. M. Serrano Bernal, en su propio nombre, con el carácter de tenedor de la letra de cambio número 338, girada por Antonio Asprilla A. contra Indalecio Perea, pide que se libre orden de pago por la vía ejecutiva contra la persona y bienes del girado por la suma líquida de 468,97 pesos, valor de la letra por los intereses legales devengados desde el día del préstamo hasta la solución de la deuda por los costos y gastos. Como el señor Indalecio Perea no pagó antes del vencimiento de la deuda, es por esta razón la demanda. ",Deteriorado. Tiene manchas que pueden dificultar la lectura.,,,"Descrito por Ernestina Lemos Rentería el 2023-01-23, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.017,Yurleyda Perea Cuesta,EAP1477_MFC_B09_Doc17_NovitavsFlores,EAP1477_MFC_B09_Doc17_NovitavsFlores_IMG_001,EAP1477_MFC_B09_Doc17_NovitavsFlores_IMG_021,21,Documento,10 folios de papel,Municipio de Nóvita contra Pantaleón Flórez cobro de catastro por acciones de terreno en Bajo Opogodó,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 17",1928,,Bajo Opogodó|Nóvita|Cali|Istmina|Quebrada Socorro|Quebrada Soledad|Quebrada Los Negros|Quebrada Santa Bárbada|Charco de los Sábalos|Quebrada Marcos Díaz|Quebrada Lombricero|Mina El Banco|Mina Alto Opogotó|Mina La Lozana|Río Condoto|Mina Guarapo|Mina Ventura|Río San Juan|Río Tamaná|Río Tamacundó|Tres Quebradas,"Rodríguez, Alejandro|Flórez, Pantaleón|Bonilla, Samuel|Gamboa, Ezequiel|Ramírez, Aurelio|Vázquez, Rafael|Flórez, Rito E|Posso, Manuel|Calderón, Víctor Manuel|Caicedo, Tomás|Camacho, José A|Arizala, Teodosio|Arango, Francisco|Asprilla, Mauricio|Escobar, José María|Rentería, Juan Antonio|Núñez, Miguel A|Lozano, Indalecio|Echeverry Ferrer, Ricardo|Posso, Ángel|Bonilla, Hermenegildo|Terán, Isaac",,judicial|minas|minería|tierras,"Este caso trata sobre unas propiedades que tiene Pantaleón Flórez, las cuales son territoriales y mineras en Opogodó. Pero a éste le notifican que no hay constancia escrita de que haya algún gravamen que limite el derecho de dominio de estas propiedades, por consiguiente, están libres de censo e hipoteca, embargo de venta o condiciones resolutorias.

Ante Samuel Bonilla, tesorero municipal de Nóvita, llegaron los señores Rito E. Flórez y Pantaleón Flórez, con la primera copia de la escritura otorgada en la Notaría Segunda del Circuito de Cali, en la cual consta la venta que estos señores le hicieron a la Compañía Minera Chocó Pacífico sobre unos derechos en Opogodó. Rito E. Flórez manifestó: “que en su nombre y en el del señor Pantaleón Flórez, al ser dueños de algunos derechos de dominio proindivisos en el globo de tierra conocido con el nombre de Bajo Opogodó y a su vez según el poder referido, transfiere a título de venta a la Compañía Minera Chocó Pacífico la cual es una sociedad anónima domiciliada en Istmina y organizada por escritura pública número 71 de 11 de septiembre de 1926 los siguientes bienes: a) Todos los derechos de dominio que por cualquier título correspondan al exponente y a su poderdante en el expresado globo de tierra del Bajo Opogodó, de tal manera que ni el exponente, ni poderdante se reservan derecho alguno en tales terrenos. b) Todos los derechos de dominio o de cualquier clase que al exponente y a su poderdante les corresponden o puedan corresponderles en la sociedad ordinaria de Bajo Opogodó. c) Una casa por valor de $10,000.00 que el exponente Rito E. Flórez ha recibido de contado y a su entera satisfacción, situada en Opogodó. d) En este contrato, no estarían quedando escritas dos casas que posee el señor Rito en el citado caserío de Opogodó - La compañía compradora, por lo tanto, como dueña absoluta del terreno en el que están dichas casas, se obliga a no cobrar al exponente Rito E. arrendamiento por el terreno que ocupan estas casas, mientras él siga siendo dueño de ellas”.

Ante el Tesoro municipal, el señor Ramón P., personero municipal de Nóvita, pide copia auténtica del auto de embargo y de la notificación en la cual quedó como prenda algunos bienes de la propiedad del señor Pantaleón, como base para garantizar el pago de lo que éste adeuda al municipio, según consta del juicio ejecutivo promovido por el señor tesorero contra Flórez. También se pidió saber desde qué año adeuda el señor Pantaleón al municipio los impuestos de catastro y a qué suma ascienden.
 
Esto sucedió en Nóvita, el 24 de agosto de 1923. Entre estos bienes se mencionó una casa pajiza en Opogodó por valor de $400. De igual manera resultan las acciones de terreno que le corresponden a Pantaleón junto con otros individuos que también son dueños.

El 1 de septiembre de 1923 se declararon estos bienes embargados legalmente a favor de la Tesorería municipal por la suma de 520 pesos, divididos así:
En 1923 una liquidación de 320 pesos; en 1924, $50; en 1925, $50; en 1926, $50; en 1927, $50. Para un total de $520.
Este valor solo por las acciones que tiene Pantaleón en el terreno de Bajo Opogodó. Además, quedan pendiente los intereses vencidos de la liquidación primera y los costos y costas del juicio.
 
Con respecto a la venta que hizo Pantaleón de sus acciones a la Compañía Minera Chocó Pacífico, el personero municipal pide que se le informe a Pantaleón que debe también el catastro del año en curso por valor de $50 oro legal que, unido a lo anterior, sería un valor de 570 oro legal. También se hizo saber que la compañía compradora estaba al tanto de este adeudo y así se hizo constar en la escritura otorgada en julio de 1928. Por lo que esa escritura, dice el personero, carece de legalidad debido a que no tiene el certificado del tesorero en donde conste que estas tierras están paz y salvo con el municipio. Con esto no se debió dar bajo ningún motivo la escritura y el registrador pecó al registrarla. Por lo que el municipio no puede perder lo que se le adeuda quizás por meros caprichos o malicia del deudor. El 12 de agosto fue transferido el caso al juez Primero del Circuito de Istmina.",,,,"Descrito por Yurleyda Perea Cuesta el 2023-01-23, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.018,Ernestina Lemos Rentería,EAP1477_MFC_B09_Doc18_Delgado,EAP1477_MFC_B09_Doc18_Delgado_IMG_001,EAP1477_MFC_B09_Doc18_Delgado_IMG_017,17,Documento,8 folios de papel,Causa Mortuoria de José David Delgado,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 18",1926,,Tadó|Istmina,"Guerrero, Hernando|Miller S, José F|David Delgado, José|Ferrer D, Hugo|Delgado M, Moisés|Castillo, Jaime|E, Luis|Bernat|Asprilla, Esteban",,judicial,"Juicio de bienes de la sucesión testada e intestada del señor José David Delgado. Según el inventario y avalúos el valor de los bienes ascendía a la cantidad de $89,441.05 oro legal. El único heredero declarado es el señor Moisés Delgado M., en su condición de descendiente natural reconocido como hijo por el causante. Al final del caso se decreta el siguiente auto: “El embargo y avalúo de los derechos y acciones que ha denunciado el ejecutante Dr. Luis E. Bernat, y que puedan corresponder al ejecutado Moisés Delgado M., como de propiedad de éste, en la sucesión testada de su padre José David Delgado. En consecuencia, para llevar a cabo el avalúo de derechos y acciones que puedan corresponder al ejecutado en el juicio de sucesión del causante José David señálese el día 16 de los corrientes a las 9am. Las partes designarán oportunamente el perito que les corresponde y estos a su vez el tercero para caso de discordia, en caso que no estén de acuerdo en designar uno a quienes se les dará la posesión legal”.",,,,"Descrito por Ernestina Lemos Rentería el 2023-02-08, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.019,Nallely Taborda Castañeda,EAP1477_MFC_B09_Doc19_AsprillavsMestre,EAP1477_MFC_B09_Doc19_AsprillavsMestre_IMG_001,EAP1477_MFC_B09_Doc19_AsprillavsMestre_IMG_035,35,Documento,17 folios de papel,"Arcesio Asprilla, Pomelio Mena, Cristóbal Mosquera y Marcial Díaz contra Manuel María Mestre, Marcial Díaz y Cornelio Mena por heridas","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 19",1926,,La Moruña|Condoto|Cali|Cabi|Istmina|Riohacha|La Troje,"Asprilla, Arcesio|Mena, Pomelio|Mosquera, Cristóbal|Mena Mestre, Manuel|Díaz, Marcial|Díaz, Cornelio|Moya, Francisca de|Paredes, Pedro P|Andrade, Miguel|Aguilar, Juan|Mosquera, Cristóbal|Mena, Camilo|Aguilar, Mario|Mosquera, Abrahan|Córdoba, Víctor|Mosquera, Luis María|Ramos, Edmundo|Rivas, Hector|Camacho, Luciano|Mena, Inocencio|Villa, Andrés|Mena, Aníbal|Lemos, Guillermo",,judicial,"En casa de Manuel Mestre se celebró una fiesta en la cual se registraron varias riñas y hubo varios heridos, entre ellos Arcesio Asprilla con tres cortadas y no sabe propiciadas por quién. Cornelio Mena y Marcial Díaz fueron heridos por Manuel Mestre y Cristóbal resultó herido. Dicen que la riña se inició porque Francisca, concubina de Manuel Mestre, salió a decirle a los que estaban en la fiesta “hijos de puta sinvergüenza”, y entonces Cristóbal Mosquera le contestó que no eran eso y por esto se le vino encima Cornelio Díaz, dándole con un garrote y Manuel Díaz también, así como Manuel María Mestre. Este caso se inició a investigar por el alcalde del Distrito de Istmina en 1924, pero en 1925 fallece Manuel María Mestre y en el año 1936 se da por terminado el proceso penal, por la muerte de éste y porque pasaron muchos años para continuar con la investigación. ",,,,"Descrito por Nallely Taborda Castañeda el 2023-02-09, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.020,Javier Hurtado Ibargüen,EAP1477_MFC_B09_Doc20_IntendenciavsChocoPacifico,EAP1477_MFC_B09_Doc20_IntendenciavsChocoPacifico_IMG_001,EAP1477_MFC_B09_Doc20_IntendenciavsChocoPacifico_IMG_029,29,Documento,14 folios de papel,"Tesoro Público de la Intendencia del Chocó contra Compañía Minera Chocó Pacífico, cobro por catastro de terreno minero Casco de Condoto","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 20",1926,,Condoto|Istmina|San Juan,"Marshall, Newton C|Ferrer, Hugo|Lozano, Alfonso|Ortiz, Rodolfo|Miller, Erasmo|Jaramillo, Abraham|Salazar Silva, Roberto|Quintana, Antonio|Porro, Francisco|Triana, Juan N|Valdés, Federico",,judicial|minería|impuestos|tesorería,"La Tesorería Municipal de Condoto abre un juicio contra Newton C. Marshall, gerente de la Compañía Minera Chocó Pacífico, por el no pago de impuestos prediales de una mina llamada Casco de Condoto. La tesorería alegó que esta compañía adeuda la suma de 2,180 pesos oro de predial por la mina en cuestión y que le han mandado reiteradamente al gerente de la compañía las cartas de cobro sin recibir respuesta por parte de éste.

La tesorería demanda de la compañía al pago de dichos impuestos y dicha orden de embargo contra los bienes del señalado, así pues, se embarga la mina La Lozana. Marshall se defiende diciendo que dicha mina (Casco de Condoto) no es propiedad de la Chocó Pacífico y mucho menos la mina La Lozana, por lo cual no se puede embargar esta última y tampoco cancelar los supuestos dineros adeudados.

La tesorería alega que esta compañía minera tiene un entramado o tejido para burlarse de la ley colombiana, pues cada vez que le exigen el pago de los impuestos salen a decir que dichas minas no están a su nombre, que están a nombre de sociedades mineras o la Anglo Colombian Development Limited, empresas que maneja la misma Compañía Minera Chocó Pacífico y por lo cual deberían pagar los impuestos, pues las leyes dictan que en estos casos quien está obligado a pagar las deudas son los representantes de las compañías o sociedades, que en este caso es el señor Newton C. Marshall.",,,,"Descrito por Javier Hurtado Ibargüen el 2023-01-25, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.021,Nallely Taborda Castañeda,EAP1477_MFC_B09_Doc21_PossovsAsprilla,EAP1477_MFC_B09_Doc21_PossovsAsprilla_IMG_001,EAP1477_MFC_B09_Doc21_PossovsAsprilla_IMG_015,15,Documento,7 folios de papel,"Posiciones pedidas por Antonio Posso a Antonio Asprilla, sobre dinero adeudado","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 21",1927,,Istmina|Condoto,"Posso, Antonio|Asprilla, Antonio|Echeverri Ferrer, Ricardo|Félix|Lozano, Indalecio",,judicial|mercaderes,"Antonio Posso demanda a Antonio Asprilla por una cantidad de dinero que le adeuda por un plazo ya vencido. El 15 de noviembre de 1923 se establece un acuerdo en donde Antonio Asprilla se compromete a pagar, según lo relató Antonio Posso, “la suma de 2,983 plata de la que solo ha dado $1,190 plata, desde el 17 de noviembre 1927 fecha del último abono de $100 plata de 0,835”. Antonio Asprilla dice no deber tal suma porque no llegaron a un acuerdo sobre las fechas. ",Deteriorado. Tiene manchas y no tiene números de folio.,,,"Descrito por Nallely Taborda Castañeda el 2023-01-25, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.022,Yurleyda Perea Cuesta,EAP1477_MFC_B09_Doc22_MorenovsGuzman,EAP1477_MFC_B09_Doc22_MorenovsGuzman_IMG_001,EAP1477_MFC_B09_Doc22_MorenovsGuzman_IMG_051,51,Documento,25 folios de papel,"Nicanor Moreno contra Manuel J. Guzmán por reivindicación, deslinde y amojonamiento de terreno","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 22",1927,,Brazo de Paimadó|Bogotá|Cali|Istmina|Terrenos Micos o Derrumbitos|Nóvita|Primavera|Quebrada Laurencia|San Pablo,"Moreno, Nicanor|Guzmán, Manuel J|Becerra, Luis José|Hurtado, Gustavo E|Serrano, Joaquín|Rengifo, Cirilo|Mena, Inocencio|Abadía Arango, Sergio|Caicedo, Eduardo|Quesada, Pedro José|Salazar, Miguel A|Arboleda, Marcos|Ibargüen, Juana|Noriega, Rafael|Urrutia, Rosa Ordoñez de|Calderón, Víctor Manuel|Mosquera, María Isidora|Sanz, Félix M|Camacho, Eduardo|Aedo, Manuel|Calderón, Rafael|González Noriega, Rafael|Ibargüen, María de la Cruz|Garcés, Rosalina|Becerra, Luis José|Becerra, Manuel Antonio|Becerra, Juana|Simón, Maríano|Gonzales, Matilde|Díaz, Sebastián|Carrasco, Franco de B|Coutin, Pedro|Córdoba, Macario",,judicial|tierras,"Nicanor Moreno tiene unos predios y estos están unidos a unos de Manuel José Guzmán, por lo que Nicanor puso esta demanda para realizar el deslinde y, a su vez, hacer la reivindicación de dichos terrenos. Manuel manifestó en una carta dirigida al juez que no aceptaría tal denuncio porque la demanda no mencionaba el lugar donde él se encontraba en dicho momento.
 
Cuando Nicanor recibió esta notificación, expuso que él sabe que el señor Manuel vive en Istmina y por eso colocó en la demanda, argumentó que es vecino de este distrito y que el estar realizando viajes a varias partes no significaba que era vecino de Cali o Bogotá, y que él señor Guzmán tiene tales predios es en Istmina y por eso es la demanda.

El juzgado continúa enviando notificaciones a Manuel, pero no comparecía en el despacho, pues el demandante y su madre le habían vendido un pedazo de tierra ubicados en el sitio de Mico o Derrumbitos al señor Víctor Manuel Calderón y éste pagó por derecho de escritura pública. Para junio de 1935, Nicanor solicitó que se diera curso o se continuara tramitando un juicio de deslinde y amojonamiento en ese despacho de Istmina.",Deteriorado. Tiene manchas y roturas. No tiene números de folio.,,,"Descrito por Yurleyda Perea Cuesta el 2023-02-06, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.023,Ernestina Lemos Rentería,EAP1477_MFC_B09_Doc23_Lozano,EAP1477_MFC_B09_Doc23_Lozano_IMG_001,EAP1477_MFC_B09_Doc23_Lozano_IMG_003,3,Documento,1 folio de papel,Contra César Lozano Salazar por redimisión de mina a perpetuidad,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 23",1926,,Istmina|Antioquia,"Lozano Salazar, César|Olano, Antonio",,judicial|tierras,"Decreto que dicta que no serán admisibles otras excepciones que las de pago y error de cuentas. De tal manera que la nulidad que alega el doctor Triana es improcedente porque no tiene morada dentro de la jurisdicción coactiva. Redención a perpetuidad. No cuadra en el presente caso esta observación de mi ilustrador, porque la autoridad que conoce sobre los actos del Concejo Municipal es el tribunal de lo contencioso administrativo; pero por vía de cuestionario me permito recordar que sobre la materia resolvió el Ministerio de Hacienda con fecha 30 de marzo de 1914, a una consulta que sobre el particular elevó el distinguido jurisconsulto doctor Antonio Olano. Dice el Ministerio: las minas indicadas en el punto B del ordinal 3 aludido no pagan el impuesto anual de minas por virtud de lo dispuesto en el artículo 45 de la ley 292 de 1875 y en artículo 3 de la ley 59 de 1909, y la indicadas en el punto del mismo ordinal no están gravadas con tal impuesto; y como según el artículo 3 del Código de Minas, estas son parte integrante del terreno en que se encuentran las minas mencionadas citados puntos B y D, están gravadas con el impuesto predial, y cabe preguntar ¿cuáles son esas minas? pues el ministerio lo dice así: se reputan de propiedad particular las minas de oro, plata, platino y piedras preciosas redimidas al tenor del artículo 45 de la ley 292 de 1875 del antiguo estado soberano de Antioquia y del artículo 3 de la ley 59 de 1909. Por todo lo expuesto y llamando la atención del juez sobre el decreto ejecutivo 25 de 1909, comentando en otro alegato, no permitido decir que las alegaciones del apoderado del ejecutado no deben mirarse si no alrededor de las legalidades del mandamiento ejecutivo, sin dar cupo a otras excepciones que las que allí se expresan. Istmina, diciembre 9 de 1926. César Lozano Salazar. ",,,,"Descrito por Ernestina Lemos Rentería el 2023-02-08, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.024,Nallely Taborda Castañeda,EAP1477_MFC_B09_Doc24_PossovsLeudo,EAP1477_MFC_B09_Doc24_PossovsLeudo_IMG_001,EAP1477_MFC_B09_Doc24_PossovsLeudo_IMG_107,107,Documento,53 folios de papel,"Antonio Posso contra Jesús María Leudo, cobro y embargo de derechos en terreno minero","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 24",1926,,Condoto|Istmina,"Posso, Antonio|Leudo, Jesús María|Valderrama, Dominga|Hurtado, Valentín|Lozano, Andrés José|Calderón, José Joaquín|Lozano, Pedro José|Lemos, Hugo|Echeverri Ferrer, Ricardo|Abadía Arango, Sergio|Robledo Villa, Félix",,judicial|comercio|minería,"Dominga Valderrama de Leudo y Jesús María Leudo se nombran a sí mismos como deudores mancomunados y solidariamente del señor Antonio Posso por la suma de 994,58 pesos de plata de 0,835 procedentes de artículos de comercio que Jesús María Leudo tomó a crédito y de dinero en efectivo para comparar metales preciosos, por lo cual es de plazo cumplido. Como Jesús María Leudo ya había otorgado un pagaré a Antonio Posso por el valor de tales efectivos, ese pagaré queda sin valor y sustituido por el presente, de manera que la suma anterior queda comprendida en 192,50 pesos en la misma moneda. Esta suma la pagaran en un plazo de ocho meses y en caso de demora se pagaría interés mensual del 2%. ",,,,"Descrito por Nallely Taborda Castañeda el 2023-02-20, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.009.025,Javier Hurtado Ibargüen,EAP1477_MFC_B09_Doc25_CondotovsMarshall,EAP1477_MFC_B09_Doc25_CondotovsMarshall_IMG_001,EAP1477_MFC_B09_Doc25_CondotovsMarshall_IMG_003,3,Documento,1 folio de papel,"Municipio de Condoto contra N.C. Marshall, cobro por predial de mina Mandinga","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 9, Documento 25",ca. 1926-1930,,Mandinga|Condoto,"Lozano Salazar, César|Garcés, Triana|Marshall, Newton C",,judicial|impuestos|comercio|minería,"La tesorería municipal de Condoto abre un juicio contra Newton C. Marshall, gerente de la Compañía Minera Chocó Pacífico, por el no pago de impuestos prediales de una mina llamada Mandinga. Alega la tesorería que esta compañía adeuda unos dineros correspondientes a los impuestos prediales de la mina en cuestión. ",,,,"Descrito por Javier Hurtado Ibargüen el 2023-01-25, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
